"id","coordinates_wkt","name"
109,"POINT (131.2425206 -0.876944444)","Sorong"
110,"POINT (76.31042403 9.491944444)","Alleppey"
111,"POINT (82.2746172 16.97777778)","Kakinada"
112,"POINT (78.18704358 8.758333333)","Tuticorin"
113,"POINT (-8.471260306 54.27166667)","Sligo"
114,"POINT (13.93828033 37.09027778)","Licata"
115,"POINT (8.30795053 40.56277778)","Alghero"
116,"POINT (14.16007067 40.80333333)","Bagnoli"
117,"POINT (16.28775029 41.32555556)","Barletta"
118,"POINT (17.95600707 40.64638889)","Brindisi"
119,"POINT (17.12338045 39.08611111)","Crotone"
120,"POINT (17.97567727 40.05583333)","Gallipoli"
121,"POINT (8.026914016 43.88277778)","Imperia"
122,"POINT (9.409363958 41.21333333)","La Maddalena"
123,"POINT (9.850353357 44.08722222)","La Spezia"
124,"POINT (12.43545347 37.78972222)","Marsala"
125,"POINT (15.55918728 38.20027778)","Messina"
126,"POINT (16.58775029 41.20833333)","Molfetta"
127,"POINT (13.55265018 45.78861111)","Monfalcone"
128,"POINT (17.30035336 40.95611111)","Monopoli"
129,"POINT (12.9024735 43.92083333)","Pesaro"
130,"POINT (8.392167256 40.84361111)","Porto Torres"
131,"POINT (12.25035336 44.46222222)","Ravenna"
132,"POINT (15.28757362 37.06611111)","Siracusa"
133,"POINT (17.18898704 40.48805556)","Taranto"
134,"POINT (14.44287397 40.75)","Torre Annunziata"
135,"POINT (129.9503534 32.90166667)","Omura"
136,"POINT (135.3833333 34.69138889)","Amagasaki"
137,"POINT (137.1084806 36.77583333)","Fushiki"
138,"POINT (133.0061837 34.06805556)","Imabari"
139,"POINT (132.2352768 34.17694444)","Iwakuni"
140,"POINT (135.188457 34.15305556)","Kainan"
141,"POINT (136.6065371 36.61694444)","Kanazawa"
142,"POINT (139.7437574 35.50638889)","Kawasaki"
143,"POINT (130.8735571 33.90833333)","Kokura"
144,"POINT (135.3852768 35.48166667)","Maizuru"
145,"POINT (136.5533569 34.60805556)","Matsusaka"
146,"POINT (135.193404 35.54333333)","Miyazu"
147,"POINT (140.9540636 42.33583333)","Muroran"
148,"POINT (139.1247939 37.955)","Niigata"
149,"POINT (131.8693168 33.25138889)","Saganoseki"
150,"POINT (129.7077739 33.15694444)","Sasebo"
151,"POINT (138.509894 35.01444444)","Shimizu"
152,"POINT (135.1333333 34.11638889)","Shimotsu"
153,"POINT (135.1270907 34.22305556)","Wakayama"
154,"POINT (139.654417 35.30444444)","Yokosuka"
155,"POINT (80.22497055 6.033333333)","Galle"
156,"POINT (21.53704358 57.40305556)","Ventspils"
157,"POINT (-92.65212014 18.53027778)","Frontera"
158,"POINT (-94.53457008 17.97583333)","Minatitlan"
159,"POINT (-94.40053004 18.1275)","Pajaritos"
160,"POINT (-112.2584806 27.33916667)","Santa Rosalia"
161,"POINT (-89.67055359 21.31361111)","Progreso"
162,"POINT (-97.37055359 20.94055556)","Tuxpan"
163,"POINT (103.4591873 4.249444444)","Kemaman"
164,"POINT (4.78368669 52.95805556)","Den Helder"
165,"POINT (4.651413428 51.80583333)","Dordrecht"
166,"POINT (6.955477032 53.32055556)","Delfzijl"
167,"POINT (8.757420495 58.45416667)","Arendal"
168,"POINT (10.22497055 59.73666667)","Drammen"
169,"POINT (11.37532391 59.11805556)","Halden"
170,"POINT (16.54163722 68.78916667)","Harstad"
171,"POINT (10.02550059 59.04527778)","Larvik"
172,"POINT (10.65282686 59.43222222)","Moss"
173,"POINT (10.22497055 59.12361111)","Sandefjord"
174,"POINT (10.404947 59.265)","Tonsberg"
175,"POINT (172.7102473 -43.60611111)","Lyttelton"
176,"POINT (59.42055359 22.65666667)","Qalhat"
177,"POINT (56.73792697 24.37833333)","Sohar"
178,"POINT (-79.56878681 8.955555556)","Balboa"
179,"POINT (-79.90477032 9.350277778)","Cristobal"
180,"POINT (-82.43457008 8.365)","Pedregal"
181,"POINT (-77.1418139 -12.04527778)","Callao"
182,"POINT (-72.10424028 -16.99777778)","Matarani"
183,"POINT (14.26861013 53.905)","Swinoujscie"
184,"POINT (-8.692873969 41.185)","Leixoes"
185,"POINT (-8.821436985 38.48972222)","Setubal"
186,"POINT (-8.7196702 40.64361111)","Aveiro"
187,"POINT (-8.823027091 41.68638889)","Viana do Castelo"
188,"POINT (28.08386337 45.44166667)","Galati"
189,"POINT (132.9075972 42.80472222)","Nakhodka"
190,"POINT (32.404947 67.135)","Kandalaksha"
191,"POINT (142.0400471 47.05055556)","Kholmsk"
192,"POINT (142.7584806 46.62666667)","Korsakov"
193,"POINT (29.76737338 59.98694444)","Kronshtadt"
194,"POINT (132.8861602 42.8)","Nakhodka"
195,"POINT (37.80441696 44.715)","Novorossiysk"
196,"POINT (39.06666667 44.09194444)","Tuapse"
197,"POINT (49.67090695 27.02861111)","Jubail"
198,"POINT (49.67302709 27.08777778)","Jubail"
199,"POINT (48.52249706 28.415)","Ras al Khafji"
200,"POINT (12.47638398 56.88944444)","Falkenberg"
201,"POINT (14.30547703 55.92555556)","Ahus"
202,"POINT (17.93881037 62.64083333)","Harnosand"
203,"POINT (12.54146054 56.19861111)","Hoganas"
204,"POINT (14.85830389 56.1625)","Karlshamn"
205,"POINT (15.58598351 56.16)","Karlskrona"
206,"POINT (17.95812721 58.91333333)","Nynashamn"
207,"POINT (16.47073027 57.265)","Oskarshamn"
208,"POINT (17.10795053 58.66166667)","Oxelosund"
209,"POINT (21.47037691 65.30888889)","Pitea"
210,"POINT (17.65918728 59.16972222)","Sodertalje"
211,"POINT (13.15159011 55.36805556)","Trelleborg"
212,"POINT (11.90477032 58.34805556)","Uddevalla"
213,"POINT (13.82073027 55.42138889)","Ystad"
214,"POINT (100.5849234 13.69583333)","Bangkok"
215,"POINT (100.8909305 13.07388889)","Laem Chabang"
216,"POINT (100.9186101 13.17138889)","Sriracha"
217,"POINT (-61.48951708 10.38833333)","Point Lisas"
218,"POINT (34.64057715 36.79694444)","Mersin"
219,"POINT (36.77320377 46.75138889)","Berdyansk"
220,"POINT (36.48563015 45.355)","Kerch"
221,"POINT (-122.3590106 37.91388889)","Richmond"
222,"POINT (-75.51984688 39.71666667)","Wilmington"
223,"POINT (-70.96896349 42.24138889)","Quincy"
224,"POINT (-159.3530035 21.95388889)","Nawiliwili"
225,"POINT (-121.888987 36.60555556)","Monterey"
226,"POINT (-77.95265018 34.19194444)","Wilmington"
227,"POINT (-75.12267373 39.90361111)","Gloucester City"
228,"POINT (-74.1024735 40.6625)","Bayonne"
229,"POINT (-76.55565371 39.2325)","Baltimore"
230,"POINT (-81.55918728 30.38083333)","Jacksonville"
231,"POINT (-76.4262073 36.98055556)","Newport News"
232,"POINT (-93.95706714 29.84305556)","Port Arthur"
233,"POINT (-76.28828033 36.81666667)","Portsmouth"
234,"POINT (-77.95265018 34.19194444)","Wilmington"
235,"POINT (-93.95706714 29.84305556)","Port Arthur"
236,"POINT (-77.03722026 38.80111111)","Alexandria"
237,"POINT (-76.4262073 36.98055556)","Newport News"
238,"POINT (-122.6086572 47.65138889)","Brownsville"
239,"POINT (-122.7038869 45.63472222)","Vancouver"
240,"POINT (-64.59040047 10.24916667)","Guanta"
241,"POINT (121.72583696694346 25.220760141757456)","Keelung"
242,"POINT (-13.623954376704255 28.948964844057482)","Arrecife"
243,"POINT (-64.92841530036452 18.332123222010704)","St Thomas"
244,"POINT (-62.750002499299285 17.27882702118545)","Basseterre"
245,"POINT (-90.05637124381114 29.93419996813862)","New Orleans"
246,"POINT (-78.72766361581795 26.5384106344139)","Freeport"
247,"POINT (-77.56 44.1)","Trenton"
248,"POINT (-81.73 43.75)","Goderich"
249,"POINT (-79.91 44.75)","Midland"
250,"POINT (-86.48 42.11)","St Joseph"
251,"POINT (-87.78 42.73)","Racine"
252,"POINT (-87.6 45.1)","Menominee"
253,"POINT (-87.05 45.76)","Escanaba"
254,"POINT (-121.5 38.58)","Sacramento"
255,"POINT (1.73 52.61)","Great Yarmouth"
256,"POINT (-2.96 56.46)","Dundee"
257,"POINT (-3.83 57.83)","Portmahomack Harbor"
258,"POINT (-3.08 58.43)","Wick"
259,"POINT (-5.46 56.41)","Oban"
260,"POINT (-4.46 54.15)","Douglas"
261,"POINT (-7.31 55)","Londonderry"
262,"POINT (-3.4 54.86)","Silloth"
263,"POINT (13.09375736 -7.833055556)","Ambriz"
264,"POINT (12.19022379 -5.55)","Cabinda"
265,"POINT (12.32037691 -6.121388889)","Soyo"
266,"POINT (19.45300353 41.30777778)","Durres"
267,"POINT (-68.91825677 12.11916667)","Curacao"
268,"POINT (56.3565371 25.17833333)","Al Fujayrah"
269,"POINT (-67.50848057 -46.43305556)","Caleta Olivia"
270,"POINT (-65.9040636 -47.75555556)","Puerto Deseado"
271,"POINT (-69.21825677 -51.61166667)","Rio Gallegos"
272,"POINT (-67.7024735 -53.79444444)","Rio Grande"
273,"POINT (-67.71896349 -49.29972222)","San Julian"
274,"POINT (153.1414605 -30.3075)","Coffs Harbour"
275,"POINT (121.893404 -33.87194444)","Esperance"
276,"POINT (137.7567138 -32.48861111)","Port Augusta"
277,"POINT (148.25053 -20.02083333)","Bowen"
278,"POINT (152.388457 -24.76722222)","Bundaberg"
279,"POINT (139.737927 -17.55361111)","Burketown"
280,"POINT (113.642874 -24.895)","Carnarvon"
281,"POINT (145.2437574 -15.45972222)","Cooktown"
282,"POINT (123.6051237 -17.29222222)","Derby"
283,"POINT (149.9053004 -37.07194444)","Eden"
284,"POINT (146.8202002 -41.10972222)","George Town"
285,"POINT (114.6007067 -28.77277778)","Geraldton"
286,"POINT (140.8333333 -17.48944444)","Karumba"
287,"POINT (137.6395171 -35.655)","Kingscote"
288,"POINT (152.9060071 -25.295)","Maryborough"
289,"POINT (145.3205536 -42.15833333)","Strahan"
290,"POINT (89.58598351 22.48694444)","Mongla"
291,"POINT (-37.03951708 -10.92527778)","Aracaju"
292,"POINT (-38.52143698 -3.7175)","Fortaleza"
293,"POINT (-51.04269729 0.032222222)","Macapa"
294,"POINT (-48.65424028 -26.89888889)","Navegantes"
295,"POINT (-52.3237338 -31.78194444)","Pelotas"
296,"POINT (-125.2386337 50.03194444)","Campbell River"
297,"POINT (-60.34234393 53.38444444)","Goose Bay"
298,"POINT (-132.1411072 54.00666667)","Masset"
299,"POINT (-67.57126031 48.84194444)","Matane"
300,"POINT (-84.54305065 73.06861111)","Nanisivik"
301,"POINT (-65.83492344 48.13861111)","New Richmond"
302,"POINT (-127.4836867 50.72111111)","Port Hardy"
303,"POINT (-61.35565371 45.61)","Port Hawkesbury"
304,"POINT (-123.1666667 49.68305556)","Squamish"
305,"POINT (-58.54075383 48.53527778)","Stephenville"
306,"POINT (-129.9895171 55.92861111)","Stewart"
307,"POINT (-126.6540636 49.9175)","Tahsis"
308,"POINT (-131.8196702 53.25527778)","Sandspit"
309,"POINT (-132.9858068 69.43138889)","Tuktoyaktuk"
310,"POINT (-73.82567727 -41.86861111)","Ancud"
311,"POINT (-73.76684335 -42.48277778)","Castro"
312,"POINT (-70.6343934 -26.35055556)","Chanaral"
313,"POINT (-72.50936396 -51.73111111)","Puerto Natales"
314,"POINT (-70.48457008 -25.39722222)","Taltal"
315,"POINT (113.6710836 22.64027778)","Guangzhou"
316,"POINT (120.2212603 31.93194444)","Jiangyin"
317,"POINT (119.4084806 34.74527778)","Lianyungang"
318,"POINT (109.50053 18.23972222)","Sanya"
319,"POINT (110.4063604 21.16972222)","Zhanjiang"
320,"POINT (122.1026502 30.00333333)","Zhoushan"
321,"POINT (-6.617020024 4.743055556)","San-Pedro"
322,"POINT (-75.52567727 10.40333333)","Cartagena"
323,"POINT (-75.5852768 9.520277778)","Tolu"
324,"POINT (-78.75954064 1.813055556)","Tumaco"
325,"POINT (-76.73386337 8.087777778)","Turbo"
326,"POINT (-74.50229682 20.35305556)","Baracoa"
327,"POINT (-75.55088339 20.71333333)","Nicaro"
328,"POINT (-82.79322733 21.90333333)","Nueva Gerona"
329,"POINT (7.891283863 54.1775)","Helgoland"
330,"POINT (10.86825677 53.95222222)","Travemunde"
331,"POINT (8.692167256 56.95277778)","Thisted"
